CAS_NUMBER	ID	COMPOUND_CODE	COMPOUND_NAME	FMLA	MOLECULAR_WEIGHT	KOWLOGP	STRUCTURECATEGORY	SMILES	AUTHORS	JOURNAL	PUBLICATION_DATE	VOLUME_NUMBER	START_PAGE	SOURCE_URL	ASSAY_CLASS_NAME	ASSAY_NAME	SPECIES_STRAIN	ENDPOINT_NAME	ENDPOINT_VALUE	ENDPOINT_UNIT	PROTEIN_SUBTYPE	PROTEIN_DOMAIN	ROUTE_OF_COMPOUND
50-28-2	32	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Akama T, Shida Y, Sugaya T, Ishida H, Gomi K, Kasai M.	J. Med. Chem.	1996	39	3461		Binding	Binding affinity for estrogen receptor, by competition with [3H]estradiol		logRBA	2		alpha		
50-28-2	33	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Wiese TE, Polin LA, Palomino E, Brooks SC.	J. Med. Chem.	1997	40	3659		Binding	Estrogen receptor (ER) binding affinity		logRBA	2		alpha		
50-28-2	34	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Grese TA, Cho S, Finley DR, Godfrey AG, Jones CD, Lugar CW 3rd, Martin MJ, Matsumoto K, Pennington LD, Winter MA, Adrian MD, Cole HW, Magee DE, Phillips DL, Rowley ER, Short LL, Glasebrook AL, Bryant HU.	J. Med. Chem.	1997	40	146		Binding	In vitro relative binding affinity by competition with [3H]17-beta-estradiol for estrogen receptor in MCF-7 cell lysate		logRBA	2		alpha		
50-28-2	35	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Renaud J, Bischoff SF, Buhl T, Floersheim P, Fournier B, Halleux C, Kallen J, Keller H, Schlaeppi JM, Stark W.	J. Med. Chem.	2003	46	2945		Binding	Inhibitory concentration against estrogen receptor alpha using radioligand binding assay.		logRBA	2		alpha		
50-28-2	36	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Pigeon P, Top S, VessiÃ¨res A, HuchÃ© M, Hillard EA, Salomon E, Jaouen G.	J. Med. Chem.	2005	48	2814		Binding	Relative binding affinity for Estrogen receptor alpha		logRBA	2		alpha		
50-28-2	37	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	SedlÃ¡k D, NovÃ¡k P, Kotora M, BartÅ¯nek P.	J. Med. Chem.	2010	53	4290		Binding	Ratio of 17-beta-estradiol IC50 to compound IC50 for ERalpha		logRBA	2		alpha		
50-28-2	38	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O		Bioorg. Med. Chem. Lett.	1996	6	201		Binding	Binding affinity against estrogen receptor relative to [3H]estradiol		logRBA	2		alpha		
50-28-2	39	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O		Bioorg. Med. Chem. Lett.	1997	7	887		Binding	Affinity against estrogen receptor in MCF-7 cell lysate by competitive displacement of [3H]estradiol		logRBA	2		alpha		
50-28-2	40	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Hegazy ME, El-Hamd H Mohamed A, El-Halawany AM, Djemgou PC, Shahat AA, ParÃ© PW.	J. Nat. Prod.	2011	74	937		Binding	Inhibition of fluorescence-labeled 17beta-estradiol binding to ERalpha receptor at 0.1 microM after 2 hrs by fluorometric analysis		logRBA	2		alpha		
50-28-2	41	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Hegazy ME, El-Hamd H Mohamed A, El-Halawany AM, Djemgou PC, Shahat AA, ParÃ© PW.	J. Nat. Prod.	2011	74	937		Binding	Inhibition of fluorescence-labeled 17beta-estradiol binding to ERalpha receptor after 2 hrs by fluorometric analysis		logRBA	2		alpha		
50-28-2	42	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Pinney KG, Bounds AD, Dingeman KM, Mocharla VP, Pettit GR, Bai R, Hamel E.	Bioorg. Med. Chem. Lett.	1999	9	1081		Binding	Relative binding affinity for estrogen receptor compared to estradiol		logRBA	2		alpha		
50-28-2	43	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Miller CP, Jirkovsky I, Tran BD, Harris HA, Moran RA, Komm BS.	Bioorg. Med. Chem. Lett.	2000	10	147		Binding	Displacement of [3H]17-beta-estradiol from human Estrogen receptor alpha	Human	logRBA	2		alpha		
50-28-2	44	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Tedesco R, Youngman MK, Wilson SR, Katzenellenbogen JA.	Bioorg. Med. Chem. Lett.	2001	11	1281		Binding	Relative binding affinity for human Estrogen receptor alpha compared to estradiol (E2)	Human	logRBA	2		alpha		
50-28-2	45	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Yang C, Edsall R Jr, Harris HA, Zhang X, Manas ES, Mewshaw RE.	Bioorg. Med. Chem.	2004	12	2553		Binding	solid phase radioligand binding assay of ERa	Human	logRBA	2		alpha		
50-28-2	46	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Miller CP, Collini MD, Harris HA.	Bioorg. Med. Chem. Lett.	2003	13	2399		Binding	Binding affinity towards human estrogen receptor alpha(ERalpha)	Human	logRBA	2		alpha		
50-28-2	47	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Sibley R, Hatoum-Mokdad H, Schoenleber R, Musza L, Stirtan W, Marrero D, Carley W, Xiao H, Dumas J.	Bioorg. Med. Chem. Lett.	2003	13	1919		Binding	In vitro binding affinity for estrogen receptor alpha	Human	logRBA	2		alpha		
50-28-2	48	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Tan Q, Birzin ET, Chan W, Tien Yang Y, Pai LY, Hayes EC, DaSilva CA, DiNinno F, Rohrer SP, Schaeffer JM, Hammond ML.	Bioorg. Med. Chem. Lett.	2004	14	3747		Binding	Binding affinity for human estrogen receptor alpha	Human	logRBA	2		alpha		
50-28-2	49	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Tan Q, Birzin ET, Chan W, Yang YT, Pai LY, Hayes EC, DaSilva CA, DiNinno F, Rohrer SP, Schaeffer JM, Hammond ML.	Bioorg. Med. Chem. Lett.	2004	14	3753		Binding	Binding affinity for human estrogen receptor alpha	Human	logRBA	2		alpha		
50-28-2	50	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Chen HY, Dykstra KD, Birzin ET, Frisch K, Chan W, Yang YT, Mosley RT, DiNinno F, Rohrer SP, Schaeffer JM, Hammond ML.	Bioorg. Med. Chem. Lett.	2004	14	1417		Binding	Binding affinity against human estrogen receptor alpha in competitive binding assay	Human	logRBA	2		alpha		
50-28-2	51	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Blizzard TA, DiNinno F, Morgan JD 2nd, Chen HY, Wu JY, Gude C, Kim S, Chan W, Birzin ET, Tien Yang Y, Pai LY, Zhang Z, Hayes EC, DaSilva CA, Tang W, Rohrer SP, Schaeffer JM, Hammond ML.	Bioorg. Med. Chem. Lett.	2004	14	3861		Binding	Binding potency for human ER alpha	Human	logRBA	2		alpha		
50-28-2	52	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Blizzard TA, DiNinno F, Morgan JD 2nd, Wu JY, Chen HY, Kim S, Chan W, Birzin ET, Yang YT, Pai LY, Zhang Z, Hayes EC, DaSilva CA, Tang W, Rohrer SP, Schaeffer JM, Hammond ML.	Bioorg. Med. Chem. Lett.	2004	14	3865		Binding	Binding potency for human ER alpha	Human	logRBA	2		alpha		
50-28-2	53	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Collini MD, Kaufman DH, Manas ES, Harris HA, Henderson RA, Xu ZB, Unwalla RJ, Miller CP.	Bioorg. Med. Chem. Lett.	2004	14	4925		Binding	Binding affinity for human Estrogen receptor alpha	Human	logRBA	2		alpha		
50-28-2	54	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Tan Q, Blizzard TA, Morgan JD 2nd, Birzin ET, Chan W, Yang YT, Pai LY, Hayes EC, DaSilva CA, Warrier S, Yudkovitz J, Wilkinson HA, Sharma N, Fitzgerald PM, Li S, Colwell L, Fisher JE, Adamski S, Reszka AA, Kimmel D, DiNinno F, Rohrer SP, Freedman LP, Schaeffer JM, Hammond ML.	Bioorg. Med. Chem. Lett.	2005	15	1675		Binding	Inhibition of estrogen receptor alpha	Human	logRBA	2		alpha		
50-28-2	55	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Liu J, Birzin ET, Chan W, Yang YT, Pai LY, Dasilva C, Hayes EC, Mosley RT, Dininno F, Rohrer SP, Schaeffer JM, Hammond ML.	Bioorg. Med. Chem. Lett.	2005	15	715		Binding	Binding affinity for human estrogen receptor alpha	Human	logRBA	2		alpha		
50-28-2	56	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Blizzard TA, Dininno F, Morgan JD 2nd, Chen HY, Wu JY, Kim S, Chan W, Birzin ET, Yang YT, Pai LY, Fitzgerald PM, Sharma N, Li Y, Zhang Z, Hayes EC, Dasilva CA, Tang W, Rohrer SP, Schaeffer JM, Hammond ML.	Bioorg. Med. Chem. Lett.	2005	15	107		Binding	Inhibition of bindign to recombinant human estrogen receptor alpha	Human	logRBA	2		alpha		
50-28-2	57	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	McDevitt RE, Malamas MS, Manas ES, Unwalla RJ, Xu ZB, Miller CP, Harris HA.	Bioorg. Med. Chem. Lett.	2005	15	3137		Binding	Inhibition of human estrogen receptor alpha	Human	logRBA	2		alpha		
50-28-2	58	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Vu AT, Cohn ST, Manas ES, Harris HA, Mewshaw RE.	Bioorg. Med. Chem. Lett.	2005	15	4520		Binding	Binding affinity for human Estrogen receptor alpha	Human	logRBA	2		alpha		
50-28-2	59	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Chesworth R, Wessel MD, Heyden L, Mangano FM, Zawistoski M, Gegnas L, Galluzzo D, Lefker B, Cameron KO, Tickner J, Lu B, Castleberry TA, Petersen DN, Brault A, Perry P, Ng O, Owen TA, Pan L, Ke HZ, Brown TA, Thompson DD, DaSilva-Jardine P.	Bioorg. Med. Chem. Lett.	2005	15	5562		Binding	Displacement of [3H]17beta-estradiol from recombinant human ERalpha expressed in 293T cells	Human	logRBA	2		alpha		
50-28-2	60	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Blizzard TA, Gude C, Morgan JD 2nd, Chan W, Birzin ET, Mojena M, Tudela C, Chen F, Knecht K, Su Q, Kraker B, Mosley RT, Holmes MA, Sharma N, Fitzgerald PM, Rohrer SP, Hammond ML.	Bioorg. Med. Chem. Lett.	2006	16	834		Binding	Binding affinity to human ERalpha	Human	logRBA	2		alpha		
50-28-2	61	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Sun W, Cama LD, Birzin ET, Warrier S, Locco L, Mosley R, Hammond ML, Rohrer SP.	Bioorg. Med. Chem. Lett.	2006	16	1468		Binding	Binding affinity to ERalpha	Human	logRBA	2		alpha		
50-28-2	62	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Wilkening RR, Ratcliffe RW, Tynebor EC, Wildonger KJ, Fried AK, Hammond ML, Mosley RT, Fitzgerald PM, Sharma N, McKeever BM, Nilsson S, Carlquist M, Thorsell A, Locco L, Katz R, Frisch K, Birzin ET, Wilkinson HA, Mitra S, Cai S, Hayes EC, Schaeffer JM, Rohrer SP.	Bioorg. Med. Chem. Lett.	2006	16	3489		Binding	Binding affinity to ERalpha by scintillation proximity assay	Human	logRBA	2		alpha		
50-28-2	63	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Wilkening RR, Ratcliffe RW, Fried AK, Meng D, Sun W, Colwell L, Lambert S, Greenlee M, Nilsson S, Thorsell A, Mojena M, Tudela C, Frisch K, Chan W, Birzin ET, Rohrer SP, Hammond ML.	Bioorg. Med. Chem. Lett.	2006	16	3896		Binding	Binding affinity to human ERalpha	Human	logRBA	2		alpha		
50-28-2	64	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Parker DL Jr, Meng D, Ratcliffe RW, Wilkening RR, Sperbeck DM, Greenlee ML, Colwell LF, Lambert S, Birzin ET, Frisch K, Rohrer SP, Nilsson S, Thorsell AG, Hammond ML.	Bioorg. Med. Chem. Lett.	2006	16	4652		Binding	Binding affinity to human recombinant ERalpha by scintillation proximity assay	Human	logRBA	2		alpha		
